idade,tempo_cliente_meses,gasto_mensal,reclamacoes,uso_suporte,churn
56,29,44.52,1,1,0
69,44,80.27,1,2,0
46,53,120.14,3,2,1
32,24,38.52,2,4,0
60,58,39.62,2,3,0
25,3,72.57,2,4,0
38,20,143.01,1,1,0
56,46,110.23,1,1,0
36,15,111.44,0,4,0
40,25,73.43,0,3,0
28,30,101.24,2,4,1
28,14,31.22,0,1,0
41,7,106.33,1,3,1
53,17,139.59,1,1,0
57,44,103.51,0,3,0
41,20,134.84,0,3,0
20,36,116.88,1,4,0
39,9,44.47,1,4,0
19,38,138.29,1,4,0
41,48,37.97,1,3,0
61,57,94.08,1,3,0
47,22,47.06,0,1,0
55,54,31.4,1,2,0
19,53,80.64,3,4,0
38,53,65.4,0,1,0
50,2,88.32,0,1,0
29,24,99.26,0,0,1
39,8,35.25,1,4,0
61,11,44.76,0,1,0
42,13,97.04,2,0,1
66,17,71.18,0,4,0
44,8,117.5,0,3,0
59,21,108.27,0,0,0
45,18,131.47,0,3,0
33,30,113.1,1,2,0
32,18,81.59,0,2,0
64,46,110.76,3,2,1
68,47,63.05,1,2,0
61,31,66.76,0,1,0
69,38,124.68,0,2,0
20,32,83.57,2,1,0
54,11,125.81,1,1,0
68,45,128.69,0,4,0
24,25,132.91,0,1,0
38,33,140.0,0,1,0
26,38,81.72,0,2,0
56,41,68.26,3,1,1
35,8,99.86,1,3,1
21,11,74.54,0,2,1
42,22,102.13,0,0,0
31,51,114.67,2,2,1
67,24,112.61,2,1,1
26,41,74.95,0,3,0
43,17,50.02,0,2,0
19,12,81.66,2,3,0
37,57,47.11,2,0,0
45,46,136.81,1,0,0
64,32,71.51,1,4,0
24,15,48.54,1,4,0
61,16,33.05,1,2,0
25,54,107.5,3,4,1
64,22,106.43,0,3,0
52,28,70.87,1,4,0
31,20,38.61,1,3,0
34,33,79.16,1,4,0
53,10,67.35,1,4,0
67,40,111.25,1,4,0
57,32,102.69,0,1,1
21,50,73.75,0,1,0
19,33,56.15,4,4,0
23,2,148.56,0,3,0
59,33,84.48,1,2,0
21,33,112.59,1,0,1
46,41,46.87,1,1,0
35,13,88.27,0,4,0
43,30,33.3,1,0,0
61,33,90.65,1,1,0
51,13,145.68,1,2,0
27,52,76.1,0,3,0
53,26,34.68,2,4,0
31,22,33.71,2,2,1
48,39,76.56,2,1,0
65,2,49.2,0,4,0
32,38,32.8,0,0,0
25,39,120.75,1,3,0
31,26,85.02,1,1,0
40,46,64.71,0,3,0
57,58,138.01,1,4,0
38,50,43.94,1,2,0
33,15,144.71,2,3,1
62,34,67.68,1,0,0
35,42,136.61,1,1,0
64,55,102.35,1,0,0
41,44,129.2,1,3,0
43,49,148.08,0,2,0
42,40,64.61,3,2,0
62,11,145.34,1,0,1
58,3,76.74,3,4,1
46,59,76.26,0,4,0
32,6,70.85,0,2,1
62,9,94.97,0,0,0
18,6,48.5,0,0,1
42,9,96.45,1,0,0
24,39,95.0,1,3,0
26,31,121.43,0,4,0
41,32,130.04,0,4,0
18,41,82.85,0,3,0
61,50,66.28,1,1,0
25,12,61.12,0,3,0
41,8,53.35,1,0,1
28,8,36.92,0,3,0
68,50,71.09,2,0,1
34,28,62.43,1,2,0
25,20,145.97,0,0,1
52,47,96.93,2,4,1
52,59,71.67,4,3,0
50,7,99.66,0,0,0
22,11,46.7,1,1,0
59,20,83.29,0,2,0
56,16,105.15,1,1,0
58,4,88.67,0,1,0
45,6,78.21,0,1,0
24,58,149.26,2,2,1
26,22,135.64,0,2,0
25,26,104.81,2,2,1
29,3,98.33,1,2,0
51,41,104.48,3,1,0
50,42,54.16,4,4,1
65,14,77.42,0,4,0
40,11,34.74,2,2,0
41,18,87.07,0,3,0
54,54,95.16,1,0,1
52,12,57.33,1,3,0
61,23,145.68,1,3,1
57,12,139.13,1,3,0
39,13,116.66,0,4,0
44,25,94.01,2,0,0
52,45,134.4,3,3,1
18,51,45.68,1,2,0
52,58,124.86,0,4,0
54,19,44.98,0,2,0
64,55,125.31,1,2,0
31,46,63.09,0,3,0
20,36,135.25,0,2,0
18,45,143.29,2,0,1
22,8,47.86,3,2,1
43,29,85.52,3,3,1
31,55,147.72,1,2,0
56,53,88.01,1,4,0
44,55,133.63,0,4,0
26,32,100.65,2,4,1
32,51,75.04,1,1,0
32,44,64.29,4,4,0
43,18,54.39,1,4,0
59,6,121.42,2,1,1
30,18,76.38,0,4,0
68,19,91.35,1,3,0
49,22,89.08,0,4,0
56,37,99.27,1,4,0
66,32,133.87,1,1,1
69,56,147.69,0,3,0
49,41,78.91,2,2,0
21,59,129.3,2,0,1
47,3,121.74,2,3,1
54,28,98.82,1,2,0
40,10,144.73,3,3,1
56,51,54.06,2,2,1
62,35,43.11,1,2,0
32,29,132.48,0,3,1
60,54,82.7,3,1,1
46,15,131.64,0,3,0
53,33,137.17,1,3,1
30,7,37.49,1,2,0
49,12,136.02,0,0,0
24,49,83.8,0,2,0
68,30,91.25,2,4,1
39,21,105.19,0,3,0
45,31,141.17,0,3,0
19,58,32.29,1,1,0
59,24,87.22,2,2,1
62,20,112.53,0,1,1
23,37,116.72,1,3,0
45,4,113.1,0,2,1
45,28,46.13,2,2,1
61,44,65.93,1,4,0
61,20,73.05,0,4,0
37,24,126.53,2,0,1
47,50,63.45,1,4,0
28,49,55.28,2,2,0
45,51,144.89,2,4,1
42,32,31.06,1,0,0
56,41,149.74,0,3,1
50,36,111.22,0,4,0
18,58,129.42,1,2,0
44,53,65.35,0,3,1
69,34,31.72,3,2,1
30,36,118.54,0,3,0
58,2,130.1,0,2,0
20,15,118.86,2,4,0
56,34,47.14,0,4,0
23,36,120.41,1,0,0
25,6,122.27,1,3,1
44,39,109.02,1,0,0
26,42,121.93,0,1,0
54,51,131.51,1,4,0
50,51,103.63,0,3,0
68,58,40.63,0,0,0
59,54,88.52,0,0,0
61,12,39.32,1,1,0
41,3,78.91,0,0,1
32,45,78.85,1,2,0
49,18,37.92,3,4,1
49,40,71.86,1,0,0
41,21,43.32,3,0,0
58,15,126.99,0,1,0
69,33,143.72,3,2,1
66,35,38.68,1,0,0
66,26,144.61,0,4,0
69,8,92.71,1,4,0
29,36,65.95,1,0,0
56,48,39.22,1,2,0
19,30,90.07,0,4,0
20,23,125.34,0,4,0
66,42,114.85,0,2,0
54,44,36.03,0,2,0
66,14,38.75,0,0,0
34,14,78.34,1,3,0
66,2,65.43,1,1,0
19,55,57.89,3,3,0
19,37,63.72,0,3,0
45,5,126.42,1,4,0
40,38,141.51,0,2,0
54,45,78.61,0,4,0
49,41,138.73,0,1,0
50,54,68.58,0,0,0
18,47,87.17,1,1,0
36,14,57.12,1,4,0
19,56,106.86,0,4,0
61,39,147.48,1,4,0
43,25,102.42,2,4,1
49,20,72.94,1,3,0
23,2,107.74,1,0,1
49,39,44.75,1,3,0
21,6,136.64,3,4,1
28,17,90.37,2,2,0
34,59,83.92,0,3,0
55,25,100.3,0,4,0
41,57,104.97,1,4,0
22,28,38.61,1,0,0
69,2,111.91,1,1,0
51,35,59.03,0,3,0
23,37,115.67,2,3,1
39,5,128.7,1,3,1
28,1,126.48,1,4,1
65,40,96.3,1,0,0
33,12,92.42,0,4,0
50,56,47.15,0,4,0
26,36,123.04,2,2,1
23,45,62.57,0,0,0
33,23,89.6,0,3,0
46,47,64.11,2,1,0
20,31,46.06,1,3,0
37,11,105.55,2,4,1
53,10,36.52,0,0,0
36,3,119.84,1,0,1
43,54,68.11,0,0,0
20,14,30.02,5,2,0
36,16,91.34,0,3,0
37,10,35.62,0,2,0
49,29,63.14,1,1,0
24,10,114.84,0,4,1
69,12,37.52,2,2,1
58,30,130.72,0,2,1
50,41,30.46,0,4,0
57,1,59.62,0,0,0
56,5,118.91,0,4,1
35,20,67.95,2,3,0
57,8,42.23,0,4,0
18,43,73.23,1,0,0
28,12,62.45,2,4,0
45,1,131.13,0,2,0
